"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 28 04:40:53 GMT 2024","Thu Mar 28 04:41:06 GMT 2024","13123","tests","connecting_users_to_a_meeting_via_ID_test","TestConnectingUsersToMeeting","","","Connecting to the meeting as an unauthorized user",""
"passed","Thu Mar 28 04:40:49 GMT 2024","Thu Mar 28 04:40:52 GMT 2024","3261","tests","authorization_test","TestAuthorization","","","Invalid authorization",""
